case_index,reference_mean_ms,reference_median_ms,reference_min_ms,reference_max_ms,reference_stdev_ms,tilelang_mean_ms,tilelang_median_ms,tilelang_min_ms,tilelang_max_ms,tilelang_stdev_ms,ascendc_mean_ms,ascendc_median_ms,ascendc_min_ms,ascendc_max_ms,ascendc_stdev_ms,ascendc_vs_ref_speedup,tilelang_vs_ref_speedup
0,0.8042080327868462,0.7090047001838684,0.6155995652079582,1.3764798641204834,0.2277390971045194,,,,,,1.601853407919407,1.3753706589341164,1.3540899381041527,3.620660863816738,0.7098061669979373,0.502,
1,0.5882152356207371,0.4086950793862343,0.37126149982213974,1.4188401401042938,0.3878348000407856,,,,,,1.3901803642511368,1.0852497071027756,1.0461695492267609,2.7669211849570274,0.5928816361870863,0.423,
2,16.483571752905846,14.267951715737581,9.97744407504797,33.90792664140463,7.173345385775214,,,,,,2.349263057112694,2.173811197280884,2.125340513885021,3.688020631670952,0.482397083455666,7.016,
3,13.616114389151335,13.237345963716507,10.410254821181297,17.828358337283134,2.85472508555675,,,,,,3.6770557053387165,1.8774564377963543,1.8477700650691986,19.666079431772232,5.618454678882529,3.703,
4,10.597900860011578,10.577480308711529,7.521272636950016,13.608246110379696,2.292392251720324,,,,,,1.369139738380909,1.3435306027531624,1.32692139595747,1.6105305403470993,0.08550354414296922,7.741,
5,1.0747733525931835,0.5345949903130531,0.4400312900543213,4.208911210298538,1.171644951517209,,,,,,0.44935839250683784,0.4473300650715828,0.4397910088300705,0.4654601216316223,0.009064498996685912,2.392,
6,1.8212526105344296,1.450150739401579,0.966549851000309,4.418721422553062,1.0524744690158487,,,,,,1.3510247692465782,1.3510310091078281,1.3235518708825111,1.3839909806847572,0.020300162524279384,1.348,
7,0.7756583392620087,0.5836458876729012,0.4351893439888954,2.7670813724398613,0.7042117419815083,,,,,,0.967861246317625,0.9516156278550625,0.9361905977129936,1.1498108506202698,0.06449390823385662,0.801,
8,12.439016904681921,13.220775872468948,8.434484712779522,16.605238430202007,3.0852841019024484,,,,,,1.3009005226194859,1.298640388995409,1.2752106413245201,1.328030601143837,0.016762167463211408,9.562,
9,16.132486518472433,14.735837001353502,9.880093857645988,24.974982254207134,5.164985017112681,,,,,,0.9030534885823727,0.9012357331812382,0.8907699957489967,0.9230002760887146,0.010297505917421205,17.864,
10,10.959711205214262,9.190054144710302,5.289372988045216,16.83643739670515,4.56008866800763,,,,,,0.8166552521288395,0.817139632999897,0.7996112108230591,0.8279308676719666,0.009664133356928398,13.420,
11,10.766450222581625,10.929500218480825,7.701254449784756,13.817746192216873,2.083359783785958,,,,,,1.0433885268867016,1.0433509014546871,1.0259104892611504,1.0725995525717735,0.015242927931160766,10.319,
12,1.5645528212189674,1.3792566023766994,0.7738498970866203,2.5037210434675217,0.550653153808215,,,,,,1.5419969335198402,1.4528464525938034,1.400110311806202,1.9700312986969948,0.1931770890853271,1.015,
