case_index,impl,mean_ms,median_ms,min_ms,max_ms,stdev_ms
0,reference,0.3917492926120758,0.3670947626233101,0.3437809646129608,0.6413599476218224,0.08892869282171692
1,reference,0.37194835022091866,0.3694654442369938,0.3590798005461693,0.3898702561855316,0.011032530819136015
2,reference,0.3727581351995468,0.3734901547431946,0.3558797761797905,0.39170030504465103,0.010550577467618592
3,reference,0.3714822232723236,0.3687306307256222,0.36223046481609344,0.39193034172058105,0.009456750701114751
4,reference,0.3676042892038822,0.368995126336813,0.35225972533226013,0.37989020347595215,0.008718252115659728
5,reference,0.3725542686879635,0.3716549836099148,0.3530094400048256,0.3955308347940445,0.011155675833782307
6,reference,0.36968644708395004,0.36877067759633064,0.3578905016183853,0.3827707841992378,0.00871672065418971
7,reference,0.3672671504318714,0.3689904697239399,0.35545043647289276,0.3767097368836403,0.0077117378775110644
8,reference,0.36595137789845467,0.363015104085207,0.3525707870721817,0.379880890250206,0.008988666143163952
9,reference,0.37074014544487,0.370765570551157,0.3545200452208519,0.3807302564382553,0.007609050797056799
10,reference,0.4284501075744629,0.38657989352941513,0.355379655957222,0.5681701004505157,0.07970913986996771
11,reference,0.3698021173477173,0.3638649359345436,0.35411957651376724,0.3867698833346367,0.01279535802069435
12,reference,0.3686150535941124,0.36444980651140213,0.3558611497282982,0.39558950811624527,0.012552345922773921
13,reference,0.3723171539604664,0.3701397217810154,0.3596097230911255,0.39661023765802383,0.011088530327103439
14,reference,0.3629971295595169,0.3629797138273716,0.3452301025390625,0.37649087607860565,0.010088441451421888
15,reference,0.3673410974442959,0.36835484206676483,0.3521498292684555,0.3906805068254471,0.012377793607244475
16,reference,0.8908893913030624,0.4001148045063019,0.3586001694202423,5.335741676390171,1.5619112125638535
17,reference,0.3897269256412983,0.3868304193019867,0.3776894882321358,0.4145791754126549,0.011641908956182497
18,reference,0.3948361612856388,0.3989199176430702,0.37637073546648026,0.40452927350997925,0.009978181569365429
19,reference,0.39207516238093376,0.39042532444000244,0.37609972059726715,0.4048394039273262,0.008668755585692606
20,reference,0.3907252103090286,0.38867024704813957,0.3771902993321419,0.4099402576684952,0.00966452140628681
21,reference,0.387341994792223,0.3869747743010521,0.37408992648124695,0.40332041680812836,0.010796958663197076
22,reference,0.3881540149450302,0.38894033059477806,0.37266965955495834,0.4042014479637146,0.011004756184039281
23,reference,0.3860372118651867,0.38078008219599724,0.37809181958436966,0.40571950376033783,0.010419704558349252
24,reference,0.38366736844182014,0.3826902247965336,0.36794040352106094,0.40507037192583084,0.012513626197571402
25,reference,0.37373118102550507,0.37230970337986946,0.36270078271627426,0.38535986095666885,0.006788356260084865
26,reference,0.36985212936997414,0.3680647350847721,0.3622714430093765,0.3787614405155182,0.005908165859713142
27,reference,0.370763149112463,0.3664800897240639,0.3565913066267967,0.3982102498412132,0.012901706866428565
28,reference,0.37487223744392395,0.37382496520876884,0.3655906766653061,0.3853514790534973,0.006576811638812125
29,reference,0.3734420984983444,0.3704354166984558,0.3624996170401573,0.4029199481010437,0.011080713736794543
30,reference,0.3718452528119087,0.3713448531925678,0.3633406013250351,0.3839004784822464,0.006626012731126007
31,reference,0.37040095776319504,0.36829058080911636,0.3592297434806824,0.38469117134809494,0.007323147584013975
32,reference,0.37437500432133675,0.3717392683029175,0.36747101694345474,0.39226002991199493,0.007650846289875825
33,reference,0.376044400036335,0.37149060517549515,0.36519020795822144,0.3951098769903183,0.010805127236450869
34,reference,0.36614611744880676,0.3625405952334404,0.36021042615175247,0.37925969809293747,0.006951157381670694
35,reference,0.366338063031435,0.3647953271865845,0.3564199432730675,0.3803698346018791,0.007053733360939009
36,reference,0.3678940236568451,0.3654644824564457,0.3569796681404114,0.3897799178957939,0.0098120719825235
37,reference,0.3695240244269371,0.36787474527955055,0.3615906462073326,0.3941105678677559,0.00937906875192288
38,reference,0.3707963041961193,0.36965031176805496,0.3653205931186676,0.3803996369242668,0.004506803585253403
39,reference,0.37128403782844543,0.3706398420035839,0.3635995090007782,0.3833705559372902,0.005811077899983969
40,reference,0.36950400099158287,0.36477064713835716,0.359569676220417,0.40145963430404663,0.011849174400129434
41,reference,0.3692731261253357,0.3666756674647331,0.36041997373104095,0.38236938416957855,0.008192313972050103
42,reference,0.36305030807852745,0.3621750511229038,0.3539007157087326,0.3770599141716957,0.006258841480813597
43,reference,0.3627111203968525,0.3611701540648937,0.3565298393368721,0.3807302564382553,0.007031346683620196
44,reference,0.3666301257908344,0.36545051261782646,0.35611074417829514,0.38603972643613815,0.008794184416823617
45,reference,0.36651231348514557,0.36583514884114265,0.3612702712416649,0.3775302320718765,0.00494830240464531
46,reference,0.3661472350358963,0.36595482379198074,0.35405997186899185,0.3887200728058815,0.009708445733426345
47,reference,0.36628004163503647,0.36438973620533943,0.3566201776266098,0.3930395469069481,0.009952663196037128
48,reference,0.3676201216876507,0.3643403761088848,0.3604097291827202,0.3944104537367821,0.010072809111612542
