case_index,impl,mean_ms,median_ms,min_ms,max_ms,stdev_ms
0,reference,7.819086406379938,7.792964112013578,7.686303928494453,8.152754977345467,0.13094120996782163
1,reference,7.687516696751118,7.649154402315617,7.617673836648464,8.05994588881731,0.13203768326976656
2,reference,7.640914525836706,7.548759691417217,7.394273765385151,8.245094679296017,0.25101279904649676
3,reference,8.525691088289022,7.6310704462230206,7.45802465826273,11.97848655283451,1.7540414153428203
4,reference,7.932597957551479,7.825380191206932,7.485603913664818,8.746415376663208,0.4427705759102117
5,reference,7.544207386672497,7.530839182436466,7.404514588415623,7.680014707148075,0.08388363838972976
6,reference,7.365717273205519,7.349159102886915,7.271044887602329,7.498473860323429,0.07461526466558599
7,reference,7.502710539847612,7.511134259402752,7.4057141318917274,7.619805634021759,0.0692997296550193
8,reference,7.403993513435125,7.322374265640974,7.248153910040855,7.9221948981285095,0.20458470188262157
9,reference,7.612374424934387,7.548018824309111,7.390335202217102,8.160633966326714,0.21503447621669183
10,reference,7.869902811944485,7.931229658424854,7.332773879170418,8.620385080575943,0.3844189062761106
11,reference,7.612254749983549,7.52798980101943,7.3841046541929245,8.600804954767227,0.3544815705303617
12,reference,7.037773169577122,6.927559617906809,6.853063590824604,8.073413744568825,0.36811478137887127
13,reference,9.47756776586175,7.449244614690542,7.336294278502464,21.65350317955017,4.691202978559642
14,reference,7.3793236166238785,7.365369237959385,7.286233827471733,7.51398503780365,0.07056783851017173
15,reference,7.319327536970377,7.336779497563839,7.1884943172335625,7.40672554820776,0.06876207100981535
16,reference,7.5889963656663895,7.554104086011648,7.419983856379986,7.885504513978958,0.141974935415138
17,reference,7.833465468138456,7.62555468827486,7.505254819989204,9.913685731589794,0.7344427418873241
18,reference,7.481507491320372,7.482609245926142,7.420415058732033,7.57275428622961,0.04745313333315152
19,reference,7.47023643925786,7.465340197086334,7.419144734740257,7.5678750872612,0.042923556441328926
20,reference,7.539958506822586,7.512214593589306,7.455045357346535,7.7294036746025085,0.09377657477705698
21,reference,8.199025969952345,7.323064375668764,7.100963965058327,14.74595908075571,2.3250756090784144
22,reference,8.239341992884874,7.616614457219839,7.427124306559563,11.691397055983543,1.3371149093032433
23,reference,7.464415393769741,7.454094011336565,7.3408447206020355,7.66709353774786,0.10547475039953266
