case_index,impl,mean_ms,median_ms,min_ms,max_ms,stdev_ms
0,reference,1.3080960139632225,1.3003861531615257,1.2730099260807037,1.3876305893063545,0.03376816140095063
1,reference,1.278630830347538,1.2783310376107693,1.2736106291413307,1.2882314622402191,0.004450333543261502
2,reference,0.6156584247946739,0.5490598268806934,0.4705311730504036,0.9421715512871742,0.16357696037811273
3,reference,0.6775152869522572,0.6796950474381447,0.515500083565712,0.8508600294589996,0.16411485908150863
4,reference,0.46329451724886894,0.4494008608162403,0.4267413169145584,0.5122199654579163,0.03093889595532369
5,reference,0.7036345079541206,0.7075052708387375,0.5334308370947838,0.8785007521510124,0.1691383726784493
6,reference,0.6129623390734196,0.5272808484733105,0.4883594810962677,0.8251108229160309,0.13749816584250169
7,reference,0.5366804078221321,0.5368748679757118,0.5281101912260056,0.5511399358510971,0.006610739953863889
8,reference,0.5510233342647552,0.549455638974905,0.5448097363114357,0.5680415779352188,0.006631204719721674
9,reference,0.5488993600010872,0.5451655015349388,0.5360199138522148,0.5778912454843521,0.013166455489974142
10,reference,0.5574640817940235,0.5556545220315456,0.5506798624992371,0.5705300718545914,0.006712340236704912
11,reference,0.5722381174564362,0.5538258701562881,0.5458099767565727,0.6484594196081161,0.03957699019788482
12,reference,0.5474313162267208,0.5431552417576313,0.5337893962860107,0.5813911557197571,0.01414989674473655
13,reference,0.5372383631765842,0.5319109186530113,0.528041273355484,0.5570994690060616,0.01101407762801065
14,reference,0.3737860359251499,0.3694952465593815,0.36618951708078384,0.3966996446251869,0.009997945278572132
15,reference,0.37836916744709015,0.3781598061323166,0.3703096881508827,0.3888998180627823,0.005361992769576885
16,reference,0.38092415779829025,0.3771805204451084,0.3722803667187691,0.39482954889535904,0.00800903448812721
17,reference,0.403665192425251,0.4026200622320175,0.3928299993276596,0.42426958680152893,0.009418644439444354
18,reference,0.5166985094547272,0.45107025653123856,0.3825603052973747,0.7670000195503235,0.13822511130073498
19,reference,0.5957812070846558,0.5401098169386387,0.48254989087581635,0.8580302819609642,0.13805567466949645
20,reference,0.62835942953825,0.6118454039096832,0.5883807316422462,0.7705707103013992,0.054355731944447316
21,reference,0.6838744506239891,0.6387154571712017,0.5800500512123108,0.993611291050911,0.13189545195716304
22,reference,0.6600174121558666,0.6169653497636318,0.5872808396816254,0.8728709071874619,0.10090898452786054
23,reference,0.6224405951797962,0.603766180574894,0.5764402449131012,0.7245698943734169,0.05271380775557183
24,reference,0.7508053444325924,0.7826699875295162,0.47522038221359253,1.003560610115528,0.18000093209276474
25,reference,0.5623294040560722,0.4712357185781002,0.4329802468419075,0.9034806862473488,0.16818638214173928
26,reference,1.0070867836475372,0.9171958081424236,0.8597513660788536,1.2519098818302155,0.15956206384552948
27,reference,0.8554454892873764,0.8486509323120117,0.8416697382926941,0.8969614282250404,0.016608599423660372
28,reference,0.9808534756302834,0.9202654473483562,0.9021712467074394,1.3017309829592705,0.13262644108539193
29,reference,1.0701676830649376,1.0608555749058723,1.043630763888359,1.1182008311152458,0.023201116518268977
30,reference,0.9210013784468174,0.9104004129767418,0.903821550309658,0.9534498676657677,0.019276388276089847
31,reference,0.9237646125257015,0.9100548923015594,0.8988203480839729,1.0097408667206764,0.03368965264189565
32,reference,0.8300956338644028,0.8128206245601177,0.7711295038461685,0.9267209097743034,0.05124758943118162
33,reference,0.8883141912519932,0.8282656781375408,0.8109202608466148,1.2057311832904816,0.1317157009007325
34,reference,0.8383044041693211,0.7768357172608376,0.6893705576658249,1.4276104047894478,0.21807932175413908
35,reference,0.7743255235254765,0.7809903472661972,0.7254099473357201,0.8264202624559402,0.03271840582563475
36,reference,0.7563043385744095,0.7509547285735607,0.7368903607130051,0.7825205102562904,0.017631444588048068
37,reference,0.8480275981128216,0.7931706495583057,0.7454613223671913,1.0424712672829628,0.11245555031205277
0,tilelang,2.3419514298439026,2.260250970721245,2.1380316466093063,3.4919818863272667,0.40933535178890074
1,tilelang,2.1911324933171272,2.183271571993828,2.145102247595787,2.2449614480137825,0.04548030838355613
2,tilelang,1.9619441591203213,1.95740582421422,1.9241012632846832,2.001231536269188,0.027543002008048236
3,tilelang,1.536108087748289,1.5377113595604897,1.5133507549762726,1.5622610226273537,0.01271489402541079
4,tilelang,1.5409858897328377,1.5401109121739864,1.5205107629299164,1.561921089887619,0.013479812313622776
5,tilelang,1.9745182245969772,1.988627016544342,1.8797805532813072,2.0130807533860207,0.04143229149979809
6,tilelang,1.5525201335549355,1.552571076899767,1.5258416533470154,1.587160862982273,0.01864870758177199
7,tilelang,2.023213170468807,2.023492008447647,1.987731084227562,2.0474111661314964,0.017571657245672473
8,tilelang,3.8155823945999146,3.795672208070755,3.584442660212517,3.9895130321383476,0.12012677617503825
9,tilelang,3.7927002646028996,3.782216925173998,3.6227935925126076,3.905903548002243,0.09444823881401194
10,tilelang,3.85713716968894,3.7936074659228325,3.7494730204343796,4.042661748826504,0.110223462007092
11,tilelang,3.9962803944945335,4.009332042187452,3.8115233182907104,4.192591644823551,0.10869876652068769
12,tilelang,3.818301297724247,3.8104522973299026,3.6853021010756493,4.080163314938545,0.12364470700179488
