case_index,reference_mean_ms,reference_median_ms,reference_min_ms,reference_max_ms,reference_stdev_ms,tilelang_mean_ms,tilelang_median_ms,tilelang_min_ms,tilelang_max_ms,tilelang_stdev_ms,ascendc_mean_ms,ascendc_median_ms,ascendc_min_ms,ascendc_max_ms,ascendc_stdev_ms,ascendc_vs_ref_speedup,tilelang_vs_ref_speedup
0,0.3917492926120758,0.3670947626233101,0.3437809646129608,0.6413599476218224,0.08892869282171692,0.6249042227864265,0.6175250746309757,0.6097499281167984,0.6596613675355911,0.017631049241840845,0.36624521017074585,0.36646006628870964,0.3600502386689186,0.37590041756629944,0.004710862311143702,1.070,0.627
1,0.37194835022091866,0.3694654442369938,0.3590798005461693,0.3898702561855316,0.011032530819136015,0.9018903598189354,0.8958252146840096,0.8812295272946358,0.9252103045582771,0.014899047977856227,0.7459633052349091,0.7136696949601173,0.6926795467734337,0.8787000551819801,0.06651280316167082,0.499,0.412
2,0.3727581351995468,0.3734901547431946,0.3558797761797905,0.39170030504465103,0.010550577467618592,0.914323516190052,0.9078951552510262,0.8958000689744949,0.9568706154823303,0.02018220864384874,0.7190132513642311,0.7041706703603268,0.6821798160672188,0.8083097636699677,0.04335937863362705,0.518,0.408
3,0.3714822232723236,0.3687306307256222,0.36223046481609344,0.39193034172058105,0.009456750701114751,0.8587462827563286,0.8500758558511734,0.8396804332733154,0.9251292794942856,0.026645103026103976,0.649908185005188,0.5664504133164883,0.5391295999288559,1.07515137642622,0.17615107242111952,0.572,0.433
4,0.3676042892038822,0.368995126336813,0.35225972533226013,0.37989020347595215,0.008718252115659728,2.912072464823723,1.231900416314602,0.933290459215641,8.81077442318201,2.982640385677642,0.6160911172628403,0.548134557902813,0.5358494818210602,0.9243804961442947,0.14318690934290257,0.597,0.126
5,0.3725542686879635,0.3716549836099148,0.3530094400048256,0.3955308347940445,0.011155675833782307,6.753208860754967,2.5452510453760624,1.4276308938860893,26.866511441767216,8.524184956772471,0.8807992562651634,0.7434701547026634,0.7117614150047302,1.4585992321372032,0.24459610936603743,0.423,0.055
6,0.36968644708395004,0.36877067759633064,0.3578905016183853,0.3827707841992378,0.00871672065418971,4.423240944743156,1.6953260637819767,1.513790339231491,18.944998271763325,5.767166800432461,0.7960223592817783,0.7547209970653057,0.7168101146817207,1.1448310688138008,0.12627534419082928,0.464,0.084
7,0.3672671504318714,0.3689904697239399,0.35545043647289276,0.3767097368836403,0.0077117378775110644,1.6887037083506584,1.2811105698347092,0.9733401238918304,3.719411790370941,1.0571574431136348,0.8303656242787838,0.7854904979467392,0.727449543774128,1.1107716709375381,0.11655488380432547,0.442,0.217
8,0.36595137789845467,0.363015104085207,0.3525707870721817,0.379880890250206,0.008988666143163952,1.2260074727237225,0.8395654149353504,0.7675401866436005,3.314061090350151,0.8478937238429489,0.579215120524168,0.5744346417486668,0.561010092496872,0.6061391904950142,0.014503493303666817,0.632,0.298
9,0.37074014544487,0.370765570551157,0.3545200452208519,0.3807302564382553,0.007609050797056799,1.2292396277189255,1.1051255278289318,0.9744111448526382,2.0237313583493233,0.3185930068006556,0.7420884445309639,0.740645918995142,0.7231598719954491,0.7683206349611282,0.014640880699096017,0.500,0.302
10,0.4284501075744629,0.38657989352941513,0.355379655957222,0.5681701004505157,0.07970913986996771,0.9085443802177906,0.8952198550105095,0.8368603885173798,1.0353801771998405,0.07193259963527811,0.5622921511530876,0.5605644546449184,0.545191578567028,0.5791503936052322,0.009934794553077376,0.762,0.472
11,0.3698021173477173,0.3638649359345436,0.35411957651376724,0.3867698833346367,0.01279535802069435,0.9792633354663849,0.8933907374739647,0.8329600095748901,1.5821009874343872,0.22211092070238536,0.5963453091681004,0.5710753612220287,0.5491897463798523,0.8287802338600159,0.08254882828216062,0.620,0.378
12,0.3686150535941124,0.36444980651140213,0.3558611497282982,0.39558950811624527,0.012552345922773921,0.691620260477066,0.635459553450346,0.6168205291032791,0.9343009442090988,0.12650547567081588,0.38254112005233765,0.37944503128528595,0.372299924492836,0.394551083445549,0.008122920076564807,0.964,0.533
13,0.3723171539604664,0.3701397217810154,0.3596097230911255,0.39661023765802383,0.011088530327103439,0.6756393238902092,0.6535947322845459,0.6231795996427536,0.8007502183318138,0.06251772294659973,0.38013504818081856,0.3771600313484669,0.3746813163161278,0.3994898870587349,0.007365784788493343,0.979,0.551
14,0.3629971295595169,0.3629797138273716,0.3452301025390625,0.37649087607860565,0.010088441451421888,1.0026193223893642,0.9966101497411728,0.960799865424633,1.063050702214241,0.034728499271022506,0.5698091350495815,0.5616452544927597,0.5510104820132256,0.6165103986859322,0.020083605631686666,0.637,0.362
15,0.3673410974442959,0.36835484206676483,0.3521498292684555,0.3906805068254471,0.012377793607244475,0.9325996972620487,0.9177313186228275,0.8972613140940666,1.034979708492756,0.043486906716424106,0.6893273442983627,0.6906944327056408,0.677250325679779,0.7002316415309906,0.00761730614740848,0.533,0.394
16,0.8908893913030624,0.4001148045063019,0.3586001694202423,5.335741676390171,1.5619112125638535,0.9367374703288078,0.9374003857374191,0.8739205077290535,1.054251566529274,0.053837059027082156,0.6977411918342113,0.689939595758915,0.6867805495858192,0.7229503244161606,0.014020759879414707,1.277,0.951
17,0.3897269256412983,0.3868304193019867,0.3776894882321358,0.4145791754126549,0.011641908956182497,0.8437693119049072,0.8149798959493637,0.7795998826622963,0.9595612064003944,0.06780350043297849,0.7637782022356987,0.5872598849236965,0.5650399252772331,1.5016309916973114,0.3742109897663294,0.510,0.462
18,0.3948361612856388,0.3989199176430702,0.37637073546648026,0.40452927350997925,0.009978181569365429,1.076456531882286,0.961116049438715,0.8742194622755051,1.945781521499157,0.3318051912624264,0.7192644290626049,0.6914404220879078,0.6597014144062996,0.9565213695168495,0.08875300171823232,0.549,0.367
19,0.39207516238093376,0.39042532444000244,0.37609972059726715,0.4048394039273262,0.008668755585692606,0.8185982704162598,0.8066003210842609,0.7623909041285515,0.9393291547894478,0.052389088274591156,0.7249102927744389,0.6034849211573601,0.5573797971010208,1.1055907234549522,0.22048776638833037,0.541,0.479
20,0.3907252103090286,0.38867024704813957,0.3771902993321419,0.4099402576684952,0.00966452140628681,1.0121215134859085,0.931070651859045,0.8925609290599823,1.5880605205893517,0.21751401179633706,0.6220504641532898,0.5872962065041065,0.5544107407331467,0.8134711533784866,0.09074352236835694,0.628,0.386
21,0.387341994792223,0.3869747743010521,0.37408992648124695,0.40332041680812836,0.010796958663197076,1.0631873272359371,0.961285550147295,0.935620628297329,1.2478707358241081,0.14943074336064963,0.6704953499138355,0.6541749462485313,0.6437497213482857,0.820930115878582,0.05335050571979413,0.578,0.364
22,0.3881540149450302,0.38894033059477806,0.37266965955495834,0.4042014479637146,0.011004756184039281,0.9611582383513451,0.9580152109265327,0.9495103731751442,0.9879395365715027,0.01097427849353913,0.8469833992421627,0.7903948426246643,0.7636295631527901,1.200670376420021,0.13759856108912127,0.458,0.404
23,0.3860372118651867,0.38078008219599724,0.37809181958436966,0.40571950376033783,0.010419704558349252,0.982651486992836,0.9764148853719234,0.9625712409615517,1.0233297944068909,0.0201229301783925,1.210077479481697,1.3107354752719402,0.7911194115877151,1.5342002734541893,0.3014688993225803,0.319,0.393
24,0.38366736844182014,0.3826902247965336,0.36794040352106094,0.40507037192583084,0.012513626197571402,1.1545104905962944,1.1554849334061146,1.1336198076605797,1.1712908744812012,0.012745498360429099,1.0226475074887276,0.9684357792139053,0.936480239033699,1.3650208711624146,0.13670609306293247,0.375,0.332
25,0.37373118102550507,0.37230970337986946,0.36270078271627426,0.38535986095666885,0.006788356260084865,1.145385392010212,1.1403854005038738,1.1260313913226128,1.1868104338645935,0.01731975958735799,0.9706384502351284,0.9353957138955593,0.9055100381374359,1.3202615082263947,0.12366224283979049,0.385,0.326
26,0.36985212936997414,0.3680647350847721,0.3622714430093765,0.3787614405155182,0.005908165859713142,1.2063825502991676,1.205615233629942,1.1862413957715034,1.2277616187930107,0.012677091913438526,1.0549534112215042,1.0524652898311615,1.0431809350848198,1.0826699435710907,0.010923157189701892,0.351,0.307
27,0.370763149112463,0.3664800897240639,0.3565913066267967,0.3982102498412132,0.012901706866428565,1.2052327394485474,1.2046010233461857,1.187681220471859,1.2345314025878906,0.01458454712067538,1.0512646287679672,1.0518664494156837,1.0291803628206253,1.089910976588726,0.01706043176780895,0.353,0.308
28,0.37487223744392395,0.37382496520876884,0.3655906766653061,0.3853514790534973,0.006576811638812125,1.4481237158179283,1.4484650455415249,1.422761008143425,1.472610980272293,0.015739359262836494,1.5262776054441929,1.5058056451380253,1.4585694298148155,1.7493907362222672,0.08134912679643815,0.246,0.259
29,0.3734420984983444,0.3704354166984558,0.3624996170401573,0.4029199481010437,0.011080713736794543,0.9207254275679588,0.9189853444695473,0.9121308103203773,0.9377207607030869,0.007673689987746609,0.832846388220787,0.8331853896379471,0.6896099075675011,0.9905416518449783,0.10851723717242774,0.448,0.406
30,0.3718452528119087,0.3713448531925678,0.3633406013250351,0.3839004784822464,0.006626012731126007,0.9224045090377331,0.9233802556991577,0.9119510650634766,0.9326506406068802,0.0063743560819022075,0.7007661275565624,0.6997701711952686,0.6926897913217545,0.7094116881489754,0.00528969854455147,0.531,0.403
31,0.37040095776319504,0.36829058080911636,0.3592297434806824,0.38469117134809494,0.007323147584013975,0.9912655688822269,0.9859851561486721,0.9750798344612122,1.0172417387366295,0.015362977594945268,0.8344264701008797,0.8192900568246841,0.7741907611489296,0.9526396170258522,0.05502526839594387,0.444,0.374
32,0.37437500432133675,0.3717392683029175,0.36747101694345474,0.39226002991199493,0.007650846289875825,0.991873349994421,0.987775158137083,0.9793099015951157,1.0182298719882965,0.013432776432806657,0.835939310491085,0.7522497326135635,0.7457509636878967,1.260051503777504,0.1804821019950397,0.448,0.377
33,0.376044400036335,0.37149060517549515,0.36519020795822144,0.3951098769903183,0.010805127236450869,2.463699132204056,2.0384802483022213,1.946641132235527,4.278281703591347,0.8627599958891276,1.476092729717493,1.4438806101679802,1.4151306822896004,1.7878208309412003,0.11068116781967133,0.255,0.153
34,0.36614611744880676,0.3625405952334404,0.36021042615175247,0.37925969809293747,0.006951157381670694,0.9888174943625927,0.9186551906168461,0.8798800408840179,1.40325166285038,0.15989553063094222,0.6828594021499157,0.6647855043411255,0.6451094523072243,0.8527608588337898,0.060215785076451124,0.536,0.370
35,0.366338063031435,0.3647953271865845,0.3564199432730675,0.3803698346018791,0.007053733360939009,0.8253340609371662,0.8240197785198689,0.810619443655014,0.8414797484874725,0.009666629443445198,0.6195313297212124,0.5947151221334934,0.5841096863150597,0.8460497483611107,0.0798983436177104,0.591,0.444
36,0.3678940236568451,0.3654644824564457,0.3569796681404114,0.3897799178957939,0.0098120719825235,0.7653772830963135,0.7626097649335861,0.7534204050898552,0.7806308567523956,0.009235602521252752,0.5575764924287796,0.5546147003769875,0.5457000806927681,0.5799904465675354,0.011550666561967427,0.660,0.481
37,0.3695240244269371,0.36787474527955055,0.3615906462073326,0.3941105678677559,0.00937906875192288,0.7563094608485699,0.7559997029602528,0.7395297288894653,0.77833142131567,0.012350362254666783,0.5810542963445187,0.5687400698661804,0.5582096055150032,0.675080344080925,0.034509120524096486,0.636,0.489
38,0.3707963041961193,0.36965031176805496,0.3653205931186676,0.3803996369242668,0.004506803585253403,1.4491185545921326,1.4475858770310879,1.4274707064032555,1.4769891276955605,0.0157095705852404,1.3703667558729649,1.3113310560584068,1.2878812849521637,1.8724501132965088,0.17752760594704836,0.271,0.256
39,0.37128403782844543,0.3706398420035839,0.3635995090007782,0.3833705559372902,0.005811077899983969,1.0939865373075008,1.0930555872619152,1.082620583474636,1.1088214814662933,0.009252445515755488,0.8848534896969795,0.8685053326189518,0.852690078318119,1.044170930981636,0.056554160811533166,0.420,0.339
40,0.36950400099158287,0.36477064713835716,0.359569676220417,0.40145963430404663,0.011849174400129434,1.1036085896193981,1.1040307581424713,1.0864799842238426,1.1263201013207436,0.013626373831304323,0.8955912664532661,0.8804844692349434,0.8775303140282631,0.9997598826885223,0.037468981429251536,0.413,0.335
41,0.3692731261253357,0.3666756674647331,0.36041997373104095,0.38236938416957855,0.008192313972050103,0.8965162560343742,0.8965148590505123,0.8840411901473999,0.9195692837238312,0.010449982111114742,0.6950562819838524,0.6662299856543541,0.6547113880515099,0.9264694526791573,0.08338965544269462,0.531,0.412
42,0.36305030807852745,0.3621750511229038,0.3539007157087326,0.3770599141716957,0.006258841480813597,1.3223106041550636,1.3212962076067924,1.3001393526792526,1.3453112915158272,0.014701160324983512,1.2201976031064987,1.1838609352707863,1.137719489634037,1.4306800439953804,0.09787619696299697,0.298,0.275
43,0.3627111203968525,0.3611701540648937,0.3565298393368721,0.3807302564382553,0.007031346683620196,1.0072406381368637,1.0078302584588528,0.9916909039020538,1.0227803140878677,0.009894921372012273,0.8550532162189484,0.8106352761387825,0.7774811238050461,1.0484196245670319,0.10070036210930561,0.424,0.360
44,0.3666301257908344,0.36545051261782646,0.35611074417829514,0.38603972643613815,0.008794184416823617,0.9720335714519024,0.970001332461834,0.9587304666638374,0.9937798604369164,0.008896185397724451,0.8520195260643959,0.7977555505931377,0.7850499823689461,1.067820005118847,0.10140908234116658,0.430,0.377
45,0.36651231348514557,0.36583514884114265,0.3612702712416649,0.3775302320718765,0.00494830240464531,1.1587746441364288,1.1470261961221695,1.1314302682876587,1.2939004227519035,0.04858192096585823,0.9898853488266468,0.9455913677811623,0.9234314784407616,1.3780705630779266,0.13717545301247264,0.370,0.316
46,0.3661472350358963,0.36595482379198074,0.35405997186899185,0.3887200728058815,0.009708445733426345,1.8259256146848202,1.8200557678937912,1.7801402136683464,1.897529698908329,0.03753192244762484,1.7041567713022232,1.690060831606388,1.65605079382658,1.8868902698159218,0.06696107166625542,0.215,0.201
47,0.36628004163503647,0.36438973620533943,0.3566201776266098,0.3930395469069481,0.009952663196037128,1.236848533153534,1.2289551086723804,1.2081805616617203,1.3102898374199867,0.030436418276062138,1.0274093598127365,0.9987000375986099,0.9838799014687538,1.2810006737709045,0.0895729550452577,0.357,0.296
48,0.3676201216876507,0.3643403761088848,0.3604097291827202,0.3944104537367821,0.010072809111612542,1.638120599091053,1.4301855117082596,0.8622100576758385,4.091251641511917,1.0212051248754097,0.5841041915118694,0.579840037971735,0.5732700228691101,0.6019612774252892,0.009973753695739069,0.629,0.224
49,0.37363022565841675,0.3686351701617241,0.35090092569589615,0.4053805023431778,0.016998596734801582,1.5401736833155155,1.4743604697287083,1.4245212078094482,1.8273014575242996,0.13100899282442677,1.3192125596106052,1.275885384529829,1.265750266611576,1.6482006758451462,0.11772942313408499,0.283,0.243
50,0.3678981214761734,0.3647953271865845,0.36118924617767334,0.3842199221253395,0.00784002056599713,1.999339833855629,1.965356059372425,1.8939301371574402,2.1883612498641014,0.10576032151886308,1.8198027275502682,1.7977850511670113,1.7741098999977112,1.9148718565702438,0.05217095231700683,0.202,0.184
51,0.3678283654153347,0.36412011831998825,0.35881996154785156,0.38823019713163376,0.009126623668600396,1.219436153769493,1.2166150845587254,1.2075593695044518,1.2376001104712486,0.009297350283191506,1.0817763395607471,1.0581943206489086,1.0392405092716217,1.309339888393879,0.08058152328732238,0.340,0.302
52,0.36701327189803123,0.36486517637968063,0.3592809662222862,0.3822697326540947,0.008099711452788292,0.7707512937486172,0.7646055892109871,0.7539801299571991,0.8056806400418282,0.015543855645715482,0.7730012759566307,0.5797604098916054,0.545090064406395,1.7429199069738388,0.3839668559763802,0.475,0.476
53,0.3639711067080498,0.3618951886892319,0.3550201654434204,0.37859007716178894,0.0072007600847245655,1.4745727181434631,1.4708205126225948,1.4386503025889397,1.5303101390600204,0.02594653374354175,1.477537676692009,1.3328907079994678,1.3176295906305313,2.7189021930098534,0.4369691126960017,0.246,0.247
54,0.3640642389655113,0.36030588671565056,0.35754963755607605,0.38881972432136536,0.009581985558783885,0.8841805160045624,0.8767354302108288,0.8683707565069199,0.9160609915852547,0.016931847099409016,0.6580335088074207,0.6143301725387573,0.6068199872970581,1.0577114298939705,0.1405024729726763,0.553,0.412
55,0.36565931513905525,0.3642505034804344,0.3608204424381256,0.3783293068408966,0.005125687892042635,0.8874713443219662,0.8854256011545658,0.8578002452850342,0.9274408221244812,0.019619073204102742,0.6269223056733608,0.620650127530098,0.6136111915111542,0.6682099774479866,0.016022711593717168,0.583,0.412
56,0.36869822070002556,0.36631012335419655,0.3586793318390846,0.3905808553099632,0.00931198222383982,1.3491124846041203,1.346660777926445,1.3326006010174751,1.3851094990968704,0.015184474585004793,1.1356444098055363,1.1256756260991096,1.0873200371861458,1.2130709365010262,0.041085930100143456,0.325,0.273
57,0.36776429042220116,0.36367960274219513,0.3610299900174141,0.3863498568534851,0.009874641459676366,1.1446996591985226,1.1348305270075798,1.1236714199185371,1.2197913601994514,0.028347244829189717,0.9352263994514942,0.8957409299910069,0.87692029774189,1.3006813824176788,0.12914477882824982,0.393,0.321
58,0.36925608292222023,0.36326469853520393,0.3578895702958107,0.4009297117590904,0.01461915841754516,1.1323144659399986,1.128870528191328,1.1265501379966736,1.1516911908984184,0.007599691683708813,0.9276922792196274,0.8951104246079922,0.8868714794516563,1.1688899248838425,0.08725491564661814,0.398,0.326
59,0.46516433358192444,0.3878897987306118,0.37927180528640747,0.746849924325943,0.13391729364800217,1.5764637850224972,1.5727258287370205,1.5604197978973389,1.6083316877484322,0.014985018263362997,1.7308229580521584,1.4646458439528942,1.406610943377018,3.076542168855667,0.5304034004981713,0.269,0.295
60,0.3826701082289219,0.3787246532738209,0.3716396167874336,0.4099700599908829,0.012098329833049022,2.512605953961611,2.43896571919322,2.40258127450943,3.173430450260639,0.2332833744664029,2.3763351142406464,2.377506345510483,2.3438911885023117,2.4059703573584557,0.01813149497676321,0.161,0.152
61,0.38485415279865265,0.38004061207175255,0.3733402118086815,0.43599121272563934,0.018434152033468754,0.8998454548418522,0.8988515473902225,0.8914703503251076,0.91507937759161,0.007881013950710192,0.6514460779726505,0.6470899097621441,0.6362097337841988,0.6882604211568832,0.015561919594300132,0.591,0.428
62,0.3844043239951134,0.38210488855838776,0.37636980414390564,0.40309038013219833,0.007632058797108087,0.9996554814279079,0.9976602159440517,0.9862398728728294,1.0189609602093697,0.008750048256194463,0.7564782164990902,0.7539852522313595,0.7421597838401794,0.7725199684500694,0.009701343119414589,0.508,0.385
63,0.38016634061932564,0.37870509549975395,0.36766938865184784,0.39764028042554855,0.00968076911859758,1.4855478890240192,1.4852709136903286,1.453971490263939,1.5240209177136421,0.021071709959837027,1.489278580993414,1.4123404398560524,1.322699710726738,1.871851272881031,0.20191218857443216,0.255,0.256
